"","website","query","titles","location","wage","skills"
"1","Career Builder","Data Analyst","DATA ANALYST","null","$97K","Acceptance Testing"
"2","Career Builder","Data Analyst","DATA ANALYST","null","$97K","Bash (Scripting Language)"
"3","Career Builder","Data Analyst","DATA ANALYST","null","$97K","Dashboard"
"4","Career Builder","Data Analyst","DATA ANALYST","null","$97K","Data Analysis"
"5","Career Builder","Data Analyst","DATA ANALYST","null","$97K","Python (Programming Language)"
"6","Career Builder","Data Analyst","DATA ANALYST","null","$97K","Reporting Tools"
"7","Career Builder","Data Analyst","Data Analyst","Leader among IT staffing agencies","$60K","Data Analysis"
"8","Career Builder","Data Analyst","Data Analyst","Leader among IT staffing agencies","$60K","Learning"
"9","Career Builder","Data Analyst","Data Analyst","Leader among IT staffing agencies","$60K","Microsoft Access"
"10","Career Builder","Data Analyst","Data Analyst","Leader among IT staffing agencies","$60K","Microsoft Excel"
"11","Career Builder","Data Analyst","Data Analyst","Leader among IT staffing agencies","$60K","Passionate"
"12","Career Builder","Data Analyst","Data Analyst","Leader among IT staffing agencies","$60K","Sql (Programming Language)"
"13","Career Builder","Data Analyst","Data Analyst","null","$30","Derivatives"
"14","Career Builder","Data Analyst","Data Analyst","null","$30","Finance"
"15","Career Builder","Data Analyst","Data Analyst","null","$30","Financial Modeling"
"16","Career Builder","Data Analyst","Data Analyst","null","$30","Financial Planning"
"17","Career Builder","Data Analyst","Data Analyst","null","$30","Forecasting"
"18","Career Builder","Data Analyst","Data Analyst","null","$30","Investments"
"19","Career Builder","Data Analyst","Data Analyst","null","$48K","Computer Sciences"
"20","Career Builder","Data Analyst","Data Analyst","null","$48K","Data Management"
"21","Career Builder","Data Analyst","Data Analyst","null","$48K","Economics"
"22","Career Builder","Data Analyst","Data Analyst","null","$48K","Mathematics"
"23","Career Builder","Data Analyst","Data Analyst","null","$48K","Medicare Advantage"
"24","Career Builder","Data Analyst","Data Analyst","null","$48K","Spanish Language"
"25","Career Builder","Data Analyst","Data Analyst","null","$49","Analysis"
"26","Career Builder","Data Analyst","Data Analyst","null","$49","Asset Management"
"27","Career Builder","Data Analyst","Data Analyst","null","$49","Data Analysis"
"28","Career Builder","Data Analyst","Data Analyst","null","$49","Geographic Information Systems"
"29","Career Builder","Data Analyst","Data Analyst","null","$49","Microsoft Access"
"30","Career Builder","Data Analyst","Data Analyst","null","$49","Visual Basic (Programming Language)"
"31","Career Builder","Data Analyst","Data Analyst","null","$50","Analytical"
"32","Career Builder","Data Analyst","Data Analyst","null","$50","Attention To Detail"
"33","Career Builder","Data Analyst","Data Analyst","null","$50","Data Analysis"
"34","Career Builder","Data Analyst","Data Analyst","null","$50","Decision Making"
"35","Career Builder","Data Analyst","Data Analyst","null","$50","Management"
"36","Career Builder","Data Analyst","Data Analyst","null","$50","Metrics"
"37","Career Builder","Data Analyst","Data Analyst","null","$69K","Business Intelligence"
"38","Career Builder","Data Analyst","Data Analyst","null","$69K","Data Analysis"
"39","Career Builder","Data Analyst","Data Analyst","null","$69K","Data Management"
"40","Career Builder","Data Analyst","Data Analyst","null","$69K","Data Quality"
"41","Career Builder","Data Analyst","Data Analyst","null","$69K","Data Warehousing"
"42","Career Builder","Data Analyst","Data Analyst","null","$69K","Self Motivation"
"43","Career Builder","Data Analyst","Data Analyst","null","$82K","C Sharp (Programming Language)"
"44","Career Builder","Data Analyst","Data Analyst","null","$82K","Collections"
"45","Career Builder","Data Analyst","Data Analyst","null","$82K","Configuration Management"
"46","Career Builder","Data Analyst","Data Analyst","null","$82K","Data Processing"
"47","Career Builder","Data Analyst","Data Analyst","null","$82K","Documentation"
"48","Career Builder","Data Analyst","Data Analyst","null","$82K","Engineering"
"49","Career Builder","Data Analyst","Data Analyst","null","$82K","Object Oriented Programming"
"50","Career Builder","Data Analyst","Data Analyst","null","$82K","Python (Programming Language)"
"51","Career Builder","Data Analyst","Data Analyst","null","$82K","Quality Management"
"52","Career Builder","Data Analyst","Data Analyst","null","$82K","Reports"
